"filename", "language", "Markdown", "JSON with Comments", "JSON", "JavaScript", "Astro", "XML", "CSS", "comment", "blank", "total"
"c:\Users\ianrp\dev\work\joluLanding\README.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 14, 49
"c:\Users\ianrp\dev\work\joluLanding\astro.config.mjs", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 2, 4, 15
"c:\Users\ianrp\dev\work\joluLanding\package-lock.json", "JSON", 0, 0, 6134, 0, 0, 0, 0, 0, 1, 6135
"c:\Users\ianrp\dev\work\joluLanding\package.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\ianrp\dev\work\joluLanding\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\ianrp\dev\work\joluLanding\public\manifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ianrp\dev\work\joluLanding\src\assets\astro.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\ianrp\dev\work\joluLanding\src\assets\background.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\ianrp\dev\work\joluLanding\src\components\Carousel\Photo.astro", "Astro", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\ianrp\dev\work\joluLanding\src\components\Carousel\index.astro", "Astro", 0, 0, 0, 0, 81, 0, 0, 0, 9, 90
"c:\Users\ianrp\dev\work\joluLanding\src\components\Hero\index.astro", "Astro", 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\ianrp\dev\work\joluLanding\src\components\InstructionsSection\index.astro", "Astro", 0, 0, 0, 0, 65, 0, 0, 0, 8, 73
"c:\Users\ianrp\dev\work\joluLanding\src\components\Payment\index.astro", "Astro", 0, 0, 0, 0, 59, 0, 0, 0, 7, 66
"c:\Users\ianrp\dev\work\joluLanding\src\components\Steps\index.astro", "Astro", 0, 0, 0, 0, 53, 0, 0, 0, 8, 61
"c:\Users\ianrp\dev\work\joluLanding\src\components\TextSection\index.astro", "Astro", 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\Users\ianrp\dev\work\joluLanding\src\layouts\Layout.astro", "Astro", 0, 0, 0, 0, 42, 0, 0, 0, 9, 51
"c:\Users\ianrp\dev\work\joluLanding\src\pages\index.astro", "Astro", 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\ianrp\dev\work\joluLanding\src\styles\global.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\ianrp\dev\work\joluLanding\tsconfig.json", "JSON with Comments", 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"Total", "-", 35, 20, 6157, 9, 382, 11, 1, 2, 81, 6698
